SCHOOL,PROGRAM,DEGREE,ONLINE,ONCAMPUS,COUNTRY,STATE,CITY,DEPARTMENT,URL
Villanova University,Master of Science in Analytics,M,T,F,US,PA,Villanova,School of Business,http://taxandbusinessonline.villanova.edu/master-of-science-in-analytics
Villanova University,Online Master of Business Administration,M,T,F,US,PA,Villanova,School of Business,http://taxandbusinessonline.villanova.edu/master-of-business-administration
Mercyhurst University,Data Science,M,F,T,US,PA,Erie,Ridge College of Intelligence Studies and Applied Sciences,https://www.mercyhurst.edu/academics/graduate-programs/graduate-degrees-and-certificates-intelligence-studies/data-science
Elizabethtown College,Data Science,B,F,T,US,PA,Elizabethtown,Computer Science,https://www.etown.edu/depts/computer-science/data-science-major.aspx
Brown University,Big Data,D,F,T,US,RI,Providence,Computer Science,http://cs.brown.edu/~kraskat/phd.html
College of Charleston,Data Science,B,F,T,US,SC,Charleston,Computer Science,http://datascience.cofc.edu/
Medical University of South Carolina,Master of Science in Health Informatics,M,T,F,US,SC,Charleston,College of Health Professions,http://academicdepartments.musc.edu/chp/MSHI/
University of South Carolina-Columbia,Master of Applied Statistics,M,F,T,US,SC,Columbia,Department of Statistics,http://www.sc.edu/stat_dist/mas.shtml
Augustana University,Data Science,B,F,T,US,SD,Sioux Falls,Computer Science,http://www.augie.edu/academics/majors-and-programs/data-science
University of South Dakota,MS in Business Analytics,M,F,T,US,SD,Vermillion,Business,https://www.usd.edu/business/business-analytics
Dakota State University,Analytics,M,T,T,US,SD,Madison,Business and Information Systems,http://www.dsu.edu/msa/
South Dakota State University,Computational Science and Statistics,D,F,T,US,SD,Brookings,Mathematics and Statistics,http://www.sdstate.edu/mathstat/grad/css-phd.cfm
South Dakota State University,Data Science,M,F,T,US,SD,Brookings,Mathematics and Statistics,http://www.sdstate.edu/mathstat/grad/masters-in-data-science.cfm
Maryville College,Business Analytics,B,F,T,US,TN,Maryville,College of Business Administration,https://www.maryvillecollege.edu/academics/programs-of-study/business-analytics/
Maryville College,Minor in Analytics,B,F,T,US,TN,Maryville,College of Business Administration,https://www.maryvillecollege.edu/academics/programs-of-study/analytics/
Austin Peay State University,Professional Science Master's in Data Management and Analysis,M,F,T,US,TN,Clarksville,Department of Computer Science and Information Technology,http://www.apsu.edu/csci/psm-information
Austin Peay State University,Professional Science Master's Degree in Predictive Analytics,M,F,T,US,TN,Clarksville,Department of Mathematics and Statistics,https://www.apsu.edu/csci/psm-information
Middle Tennessee State University,Master of Science in Professional Science (M.S.) with a concentration in Health Care Informatics,M,T,T,US,TN,Murfreesboro,College of Basic and Applied Sciences,http://catalog.mtsu.edu/preview_program.php?catoid=9&poid=2308&returnto=377
Middle Tennessee State University,Master of Science in Information Systems (Business Intelligence and Analytics Concentration),M,F,T,US,TN,Murfreesboro,Department of Computer Information Systems,http://www.mtsu.edu/graduate/programs/info_bia.php
